epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
80,12289.5,0.94318,2.61026,0.69821,0.03115,1.15862,0.75043,0.71388,0.75472,0.50829,0.59804,0.575,0.53846,0.23891,0.99289,3.80368,0.95549,0.04275,0,0.000113873,0.000113873,0.000113873
81,12415.3,0.93785,2.5977,0.6538,0.03116,1.15122,0.77272,0.7117,0.74717,0.50703,0.61856,0.57326,0.53109,0.22116,1.00797,3.86817,0.93945,0.04357,0,0.000104537,0.000104537,0.000104537
82,12541,0.92141,2.53023,0.68753,0.03006,1.07982,0.76058,0.69872,0.74378,0.50193,0.58543,0.55244,0.51582,0.22598,0.98836,3.82092,0.97589,0.04247,0,9.55951e-05,9.55951e-05,9.55951e-05
83,12666.5,0.93573,2.56127,0.67551,0.0304,1.14422,0.69539,0.74328,0.75685,0.51597,0.57437,0.60795,0.55448,0.2358,0.98449,3.84684,0.97345,0.04229,0,8.70577e-05,8.70577e-05,8.70577e-05
84,12792.5,0.92385,2.59102,0.69026,0.02993,1.14208,0.74335,0.70122,0.74685,0.50305,0.62336,0.56919,0.53473,0.23113,0.99505,3.85409,0.97062,0.04276,0,7.89327e-05,7.89327e-05,7.89327e-05
85,12920.3,0.907,2.5367,0.67849,0.02962,1.17017,0.72187,0.72901,0.75498,0.51964,0.55968,0.57769,0.51914,0.22839,0.98388,3.86549,0.93865,0.04233,0,7.12282e-05,7.12282e-05,7.12282e-05
86,13048.2,0.92035,2.54174,0.65758,0.03005,1.09181,0.68861,0.7747,0.74604,0.50855,0.55351,0.62119,0.52668,0.22556,0.99819,3.87635,0.9296,0.04301,0,6.39518e-05,6.39518e-05,6.39518e-05
87,13175.2,0.90593,2.49854,0.65383,0.0296,1.08574,0.76295,0.68001,0.7435,0.50439,0.64154,0.55143,0.53639,0.23017,0.99399,3.85664,0.94593,0.04288,0,5.71106e-05,5.71106e-05,5.71106e-05
88,13303,0.90632,2.52288,0.6414,0.03001,1.09241,0.75217,0.69496,0.74395,0.506,0.60688,0.55164,0.52776,0.22987,0.98752,3.80404,0.96844,0.04259,0,5.07115e-05,5.07115e-05,5.07115e-05
89,13432.1,0.91815,2.51989,0.66596,0.03,1.09981,0.77174,0.67886,0.74239,0.50488,0.6174,0.54245,0.52166,0.22638,0.9831,3.8075,0.96707,0.04224,0,4.47606e-05,4.47606e-05,4.47606e-05
90,13562.3,0.91804,2.52435,0.65668,0.03015,1.10026,0.71718,0.76017,0.75097,0.51298,0.57648,0.61123,0.52186,0.23035,0.98886,3.87103,0.94612,0.04257,0,3.9264e-05,3.9264e-05,3.9264e-05
91,13690,0.90636,2.54245,0.65071,0.02964,1.06131,0.74648,0.70171,0.74604,0.51109,0.59992,0.55225,0.51551,0.22355,0.99954,3.87505,0.93984,0.04309,0,3.4227e-05,3.4227e-05,3.4227e-05
92,13818,0.90502,2.56375,0.63522,0.03033,1.08572,0.76138,0.68334,0.74266,0.51114,0.62287,0.54082,0.52352,0.22543,0.99217,3.83089,0.94214,0.04265,0,2.96546e-05,2.96546e-05,2.96546e-05
93,13946.4,0.89894,2.51884,0.64382,0.02962,1.07092,0.69563,0.73086,0.73967,0.5081,0.56437,0.59446,0.52542,0.22738,0.99042,3.81772,0.94223,0.04268,0,2.55513e-05,2.55513e-05,2.55513e-05
94,14073.8,0.89299,2.47061,0.6553,0.02936,1.07385,0.69371,0.73576,0.74066,0.5066,0.58865,0.56346,0.51839,0.22565,0.99015,3.83562,0.94364,0.04269,0,2.19212e-05,2.19212e-05,2.19212e-05
95,14201.3,0.91012,2.5005,0.65181,0.0299,1.07781,0.74821,0.69477,0.74636,0.50776,0.60605,0.54652,0.50924,0.2242,0.99854,3.91743,0.92235,0.04317,0,1.87678e-05,1.87678e-05,1.87678e-05
96,14329,0.91411,2.53272,0.64504,0.03006,1.08845,0.72335,0.71679,0.74345,0.51219,0.54957,0.58998,0.51095,0.22643,0.97895,3.87511,0.94474,0.04214,0,1.60943e-05,1.60943e-05,1.60943e-05
97,14455.8,0.91198,2.49702,0.6333,0.02952,1.04441,0.74998,0.6956,0.7526,0.51515,0.60492,0.57211,0.53486,0.22881,0.98729,3.89071,0.94746,0.04258,0,1.39032e-05,1.39032e-05,1.39032e-05
98,14584.1,0.90467,2.48624,0.62682,0.02958,1.07186,0.74156,0.70476,0.74943,0.50862,0.58014,0.56142,0.52737,0.22592,0.99061,3.87961,0.95247,0.04271,0,1.21968e-05,1.21968e-05,1.21968e-05
99,14711.6,0.88868,2.49324,0.64433,0.02894,1.0336,0.73949,0.71017,0.75067,0.51571,0.57056,0.58853,0.53024,0.22808,0.98813,3.87424,0.93484,0.04255,0,1.09768e-05,1.09768e-05,1.09768e-05
100,14839.8,0.9045,2.53862,0.65047,0.02993,1.08462,0.72985,0.71578,0.74402,0.50543,0.5492,0.59043,0.52392,0.22413,0.99233,3.88262,0.94982,0.04271,0,1.02443e-05,1.02443e-05,1.02443e-05
